college,classCode,Name,Description
MET,BI 203,Cell Biology (CM),"Principles of cellular organization and function biological molecules, enzymes, bioenergetics, membranes, motility, regulatory mechanisms. Three hours lecture, one hour discussion.    "
MET,BI 206,Genetics (CM),"MET CH 203 recommended. Principles of heredity as derived from genetic, biochemical, and cytological evidence in animals, plants, and microorganisms. Three hours lecture, one hour discussion.     "
MET,BI 211,Human Physiology (N),"Designed for non-biology majors. Introduction to physiology. Principles of physiology with special reference to humans. Laboratory course. Three hours lecture, three hours lab.     "
MET,BI 303,Ecology (EBE),"Basic principles of ecology, population dynamics and behavior, interrelationships of plants and animals and their physical and chemical environment. Structure and function of ecosystems and community dynamics. Laboratory course. Three hours lecture, three hours lab.     "
MET,BI 315,Systems Physiology (PER/NEURO),"An introduction to the basic physiological principles applied across all levels of organization (cell, tissue, organ system) and intended to prepare the student for more advanced courses in physiology. Topics include homeostasis, neural, muscle, cardiopulmonary, renal, endocrine, and reproductive physiology. Three hours lecture, three hours lab.     "
MET,BI 407,Animal Behavior (EBE),"Ethological approach to animal behavior, including humans; physiological, ontogenetic, and phylogenetic causes and adaptive significance of behavior within an evolutionary framework. Laboratory course. Three hours lecture, three hours lab.     "
MET,BI 491,Research in Biology,"Laboratory or field research projects in biology may be chosen under supervision of Department of Biology. Minimum 12 hours per week in laboratory or fieldwork, not including preparation or evaluation time. Both semesters of research may count toward concentration credit in biology if two semesters of work are completed.     "
MET,BI 492,Research in Biology,"Laboratory or field research projects in biology may be chosen under supervision of Department of Biology. Minimum 12 hours per week in laboratory or fieldwork, not including preparation or evaluation time. Both semesters of research may count toward concentration credit in biology if two semesters of work are completed.     "
MET,BI 552,Molecular Biology (CM)," Structure, synthesis, and control of biologically important macromolecules, especially DNA, RNA, and proteins. Biochemistry of transcription and translation of genetic material. Introduction to molecular problems peculiar to eukaryotes. Three hours lecture, one hour discussion.     "
MET,BI 607,Animal Behavior (EBE)," Ethological approach to animal behavior, including humans; physiological, ontogenetic, and phylogenetic causes and adaptive significance of behavior within an evolutionary framework. Laboratory course. Three hours lecture, three hours lab.     "
MET,CH 101,General Chemistry I (N),"For science concentrators, premedical students, and students in related fields. Stoichiometry, states of matter, acids and bases, equilibrium, and selected chemical systems. Laboratory course. Three hours lecture, one hour discussion, three hours lab per week, and one hour postlab discussion per week.     "
MET,CH 102,General Chemistry II (N),"For science concentrators, premedical students, and students in related fields. Covers thermodynamics, atomic structure and bonding, electrochemistry, chemical kinetics, and selected chemical systems. Laboratory course. Three hours lecture, one hour discussion, three hours lab, and one hour postlab discussion per week.     "
MET,CH 103,General Chemistry I--Lecture (N),"Lecture component of MET CH 101. See CH 101 course description. Three hours lecture, one hour discussion per week.     "
MET,CH 104,General Chemistry II--Lecture (N),"Lecture component of MET CH 102. See CH 102 course description. Three hours lecture, one hour discussion.     "
MET,CH 105,General Chemistry I--Laboratory (N),"For students who have already taken the lecture portion of CH 101. Three hours lab, one hour postlab discussion per week.     "
MET,CH 106,General Chemistry II--Laboratory (N),"Laboratory component of MET CH 102. For students who have already taken the lecture portion of CH 102. Three hours lab, one hour postlab discussion per week.     "
MET,CH 171,Principles of General Chemistry (N),"Introduction to chemistry separation and purification of matter, atomic theory, structure of atoms,  molecules and chemical bonding, chemical formulas, equations, stoichiometry; water, solutions,  concentration, acids, bases, pH and buffers; gases; reaction kinetics and equilibrium, and radioactivity.  Three hours lecture, one hour discussion, one hour prelab lecture, and three hours lab.    "
MET,CH 172,Principles of Organic and Biochemistry (NS),"Organic chemistry structure, stereochemistry, and reactions of carbon compounds; emphasis on   compounds of biochemical interest polysaccharides, lipids, nucleic acids, and proteins. Biochemistry   structure and function of molecules of biological importance; metabolism of carbohydrates, lipids, and   amino acids. Three hours lecture, one hour discussion, one hour prelab lecture, and three hours lab.  "
MET,CH 174,Principles of Organic and Biochemistry  (NS),"Prereq MET CH 171 or CH 101, 102. Organic chemistry structure, stereochemistry, and reactions of  carbon compounds; emphasis on compounds of biochemical interest polysaccharides, lipids, nucleic  acids, and proteins. Biochemistry"
MET,CH 203,Organic Chemistry,"Structure and reactivity of organic compounds. Synthesis, reaction mechanisms, bonding, stereochemistry, laboratory methods. Coverage of the families of organic compounds, including molecules of biological interest. Laboratory course. Three hours lecture, one hour discussion, one hour prelab lecture, and three-and-a-half hours work period alternate weeks. Laboratory course.     "
MET,CH 204,Organic Chemistry,"Structure and reactivity of organic compounds. Synthesis, reaction mechanisms, bonding, stereochemistry, laboratory methods. Coverage of the families of organic compounds, including molecules of biological interest. Laboratory course. Three hours lecture, one hour discussion, one hour prelab lecture, and three-and-a-half hours work period alternate weeks. Laboratory course.     "
MET,CH 205,Organic Chemistry-Lecture,"Lecture component of MET CH 203, 204. Structure and reactivity of organic compounds, synthesis, reaction mechanisms, bonding, and stereochemistry. Coverage of the families of organic compounds, including molecules of biological importance. Three hours lecture, one hour discussion weekly.     "
MET,CH 206,Organic Chemistry-Lecture,"Lecture component of MET CH 203, 204. Structure and reactivity of organic compounds, synthesis, reaction mechanisms, bonding, and stereochemistry. Coverage of the families of organic compounds, including molecules of biological importance. Three hours lecture, one hour discussion weekly.     "
MET,CH 207,Organic Chemistry-Laboratory,"Laboratory component of MET CH 203, 204. An introduction to laboratory techniques, including experiments in distillation, extraction, chromatography, purification, derivitization, and synthesis. Laboratory course. One hour prelab lecture and three-and-a-half hours work period alternate weeks.     "
MET,CH 208,Organic Chemistry-Laboratory,"Laboratory component of MET CH 203, 204. An introduction to laboratory techniques, including experiments in distillation, extraction, chromatography, purification, derivitization, and synthesis. Laboratory course. One hour prelab lecture and three-and-a-half hours work period alternate weeks.     "
MET,CH 273,Principles of Biochemistry,"Primarily for students in allied health professions. Structure and function of biological macromolecules polysaccharides, proteins, and nucleic acids; lipids; enzymes and metabolism; bioenergetics, control mechanisms; hormones; body fluids; nutrition; and biochemical pathology. Three hours lecture, one hour discussion.    "
MET,CH 351,Physical Chemistry I,"Quantum Theory, atomic and molecular structure, molecular spectroscopy, statistical mechanics, solid state chemistry. Three hours lecture, one hour discussion.    "
MET,CH 352,Physical Chemistry II,"Introduction to thermodynamics, and chemical kinetics. Applications include electrochemistry, phase transitions, catalysts, aqueous solutions and polymers. Three hours lecture, one hour discussion.    "
MET,CH 421,Biochemistry I,"Prereq CAS CH 204, CH 212, CH 214, or CH 282. Introductory biochemistry. Protein structure and folding, enzyme mechanisms, kinetics, and allostery; nucleic acid structure; lipids and membrane structure; bioenergetics; vitamins and coenzymes; introduction to intermediary metabolism. Students must register for two sections lecture and laboratory. Meets with CAS CH 421.  "
MET,CJ 101,Principles of Criminal Justice,"This course provides a comprehensive overview of the criminal justice system (law enforcement, the  courts, and corrections) while developing students' critical thinking skills. In addition to class lectures, the  course provides multiple venues for learning, to include group activities, guest lectures, a prison tour, and  carefully selected films that highlight some of the most contentious issues in criminal justice today.    "
MET,CJ 251,Police and Society,"This course provides a foundation for understanding the implications of policing in the United States. The  course examines the historical development of policing in the U.S., the role of police in our society, police  organizations and decision-making, policing strategies, as well as issues of authority and accountability.  Throughout the course, several contemporary issues and controversies facing the police will be discussed  including police discrimination, police use of force practices, and other special topics.    "
MET,CJ 271,Corrections,"Concepts, Systems, and Issues This course provides an overview of models of punishment and rehabilitation from the perspectives of the humanities and social sciences, including a review of correctional practices and procedures, institutional treatment, probation, parole, prison conditions, programs for juveniles, and comparative systems. Correction administration topics are covered including personnel, legal, operating practices, overcrowding, and planning.   "
MET,CJ 351,Criminal Law,"Theory and practice of criminal law, including sanctions, individual liability, limitations on state action, criminal and victim rights, evidence, defense, deterrence, mandatory sentencing, decriminalization, intent, entrapment, vagueness, and capital punishment. Case studies of recent court decisions.     "
MET,CJ 352,"Courts, Society, and Criminal Procedure","Federal, state, and local criminal courts and their relationship to contemporary social and political issues. Historical background of the current criminal court system. Institutional functions of the courts. Role of the courts in reducing crime. Judicial process and criminal procedure, case studies and court decisions.     "
MET,CJ 420,Directed Study,Independent study in criminal justice under faculty guidance. Prior approval by program director required.    
MET,CJ 510,Special Topics in Criminal Justice,"CJ510 is the designation for ""Special Topics in Criminal Justice"". The subject matter for CJ510 courses changes from semester to semester, and more than one CJ510 can be offered in a given semester. For course descriptions, please contact the Department or the Graduate Student Advisor, Professor Cronin, at swcronin@bu.edu.    "
MET,CJ 601,History of Criminal Justice," This course examines the evolution of the criminal justice system in America, emphasizing the period from  the 18th century to contemporary forms of social control. An appreciation of the historical antecedents of  crime and justice will deepen students' understanding of the modern-day institutions of law enforcement,  courts, and corrections.    "
MET,CJ 602,Criminology,"This course explores potential answers to complex and important questions about criminal behavior by  drawing on the social science of criminology.  Criminology is the interdisciplinary study of the  development of law, criminal phenomena and societal responses to crime.  The primary emphasis of  this course will be discussing and evaluating major explanations or theories of crime.  Because  criminology is interdisciplinary, we will examine theories that are ground in a range of academic  perspectives, including sociological, biological, political, psychological and economic explanations for  crime.  Course lectures and discussions focus on the historical development of the theories, their major  assumptions and propositions, their relevance for public policy and practice. As we progress through  each explanation for crime, we critically evaluate the validity of different explanations for crime as well  as criminal justice policies and practices that they support.    "
MET,CJ 610,Special Topics in Criminal Justice,"Cybercrime This course is designed to help students understand and apply the nature of computer crime in the  criminal justice field. Several theories (both micro-level and macro-level) will be presented and will be  analyzed in depth and applied to computer crime cases both past and present. Students will see how  major theories have been re-developed to be applied to computer crime, and by using these theories,  students will both develop and explore different strategies for future law enforcement. Students will be  presented with common types of fraudulent schemes, as well as several laws that have been enacted  and developed specifically for computer crime. In addition, causes, victimization, legal issues, control  strategies, and societal costs regarding the ""computer-crime"" problem will be explored and evaluated.    "
MET,CJ 625,Victimology,"The purpose of this course is to introduce the student to the discipline of victimology, an emerging area of specialization in the field of criminology. Emphasis will focus on crime victims and their plight, the relationships between crime victims and other social groups and institutions, such as the media, business, politicians, special interest groups, and social movements. The issues of Justice and Redress from the perspective of the victim as well as general society will be stressed. An overview of victim prevention programs and victim assistance programs will be presented. Topics such as the Restorative Justice Model, Victim Repayment, and Victim/Offender Mediation will be included in the course content. While the course follows an interdisciplinary approach and is designed for general interest and appeal, it has particular relevance for students drawn from disciplinary interests in the fields of criminal justice, psychology, sociology, education, health care administration, and political science.    "
MET,CJ 631,Youth Crime Problems,"Throughout this course, students will analyze the policy issues concerning juvenile justice and youth  crime. Emphasis will be put on the scope and nature of youth crime and the young offender, as well as  juvenile justice procedures, programs and institutional roles. Over the semester, students will also be  asked to consider delinquency prevention programs, violent offenders, dispositional alternatives, and  crimes against youth.     "
MET,CJ 632,White Collar Crime,"The purpose of this course is to examine the nature and extent of corporate and white-collar crime,  including detection, deterrence, and criminal liability sanctions, as well as, the social and legal changes  related to corporate illegality. Students will use case materials which address securities fraud, money  ""laundering"", professional deviance, and political corruption, in addition to other topics. Students will also  analyze policy responses including RICO and other laws, regulations and court processing.     "
MET,CJ 650,Terrorism,"This course will include a general introduction to the overt as well as underlying ideology, history, reasons and causes of terrorism. Both domestic and international terrorism will be discussed. Domestic hate groups will also receive particular attention. The roles of politics and the media will be discussed. Students will be exposed to the philosophies of terrorists and terrorism. Counter terrorism will also be discussed at length.  Students are expected to participate actively in the course. There will be written assignments, a midterm, a class presentation, and a final paper.    "
MET,CJ 656,Forensic Criminal Investigation,"Forensic Criminal Investigation is an examination of the strategies, techniques, and procedures implicated in the process of conducting forensic criminal investigations, i.e. cases that will seek adjudication in the criminal court.  Students will examine cold cases, concluded successful investigations, ongoing investigations as well as the perspective and worldview of the perpetrators and victims of violent crimes in an effort to deconstruct and disassemble crimes, crime scenes and the criminal mind.     "
MET,CJ 660,Gender and Justice,"This course examines the role of gender in both criminal behavior and the societal response to crime.   Gender affects criminal behavior, structures our responses to crime, and presents unique challenges for  the criminal justice system.  While the course examines the role of gender in these ways for both men  and women, the course focuses on the limitations of research, policy and practice that has focused  traditionally on male offenders.  The course also examines the role of gender in criminal justice  organizations and processes.      "
MET,CJ 701,Crime and Punishment," Police officers, corrections officers, probation and parole officers, youth service officers, federal law  enforcement agents, and court professionals are all called upon on a daily basis to make critical decisions  that significantly affect the lives of those entrusted to them. Students in this course will consider  applications of ethical actions as they pertain to issues of social justice. Toward that end, we will forge a  strong notion of our definition of just what constitutes social justice.     "
MET,CJ 702,Analytical Methods,This course introduces students to the use of quantitative data in analyzing the criminal justice system.  It serves as an introduction to the statistical methods used in applied social science research and furthers students' understanding of the role statistical analysis plays in planning and policy development.    
MET,CJ 703,Research Methods,"This course introduces students to the practice, theory, and philosophy of social science research, with a special focus on criminal justice. It not only broadens students' knowledge of the ethical issues associated with research, but also introduces them to a variety of research techniques such as surveys, field research, and experimental designs. Research Methods will lay the foundation for students to become informed ""consumers"" of research, as well as ""producers"" of it.    "
MET,CJ 725,Forensic Behavior Analysis,"This course will examine the fascinating world of forensic psychology. It will examine the way in which  the law and mental health intersect and forensic psychologists help the court in addressing a variety of  cases and issues.  The course will explore how expert opinions are formed and provided on a variety of  issues including;  not guilty by reason of mental illness pleas, competency to stand trial, prediction of  future violence, sexual predators; psychopaths, the forcible medication of mentally ill patients, and   civil commitment.  The difference between sound and ""junk"" science will be discussed.      "
MET,CJ 750,Policing in a Democratic Society,"Police agencies play a critical role in a democratic society. While seeking to maintain order, enforce the law and deliver services effectively, police agencies are held accountable to a wide-variety of values by a number of powerful stakeholders. Police leaders, managers, and other personnel must understand the complexities of the police role in society, the political and legal constraints placed on them in addition to being experts in effective, evidence-based approaches to dealing with crime problems in the community. By applying theory, policy, and evaluation literature to the cutting-edge practices in the field, this course provides students with an advanced understanding in the field of police leadership, management, strategy, and accountability within a democratic society. 4 cr.     "
MET,CJ 775,Seminar in the Law and Criminal Procedure,"This course examines the origins and evolution of contemporary criminal procedure. Case law governing criminal justice functions such as stops, interrogations, arrests, warrants, identification practices, the use of informants, and searches and seizures will be explored through the prism of the U.S. Constitution and the Bill of Rights.     "
MET,CJ 801,Special Project in Criminal Justice," Individual faculty supervision of an independent student project demonstrating application of previous program coursework to a selected topic, issue, or theme in criminal justice.     "
MET,CJ 831,Criminal Justice Administration,"The challenge of administering, managing, and leading today's criminal justice organizations is becoming  increasingly complicated due to many factors, ranging from terrorism and cyber crime to politicization and  privatization. This course provides students with not only a conceptual and theoretical basis on which to  manage these complex entities, but also practical approaches to organizational effectiveness, integrity,  and innovation.     "
MET,CM 702,Advertising and Society,"Analyzes the impact of advertising on individuals and society and evaluates the ethical, moral, and legal questions relating to the advertising industry. The history of advertising and the rise of consumerism will be studied to create a paradigm for understanding the social effects of advertising. Students will study the issues of advertising in cyberspace and questions of privacy and protection from intrusive communication messages.    "
MET,CM 704,Contemporary Mass Communication,"Overview of and current trends in the contemporary mass media labor force. Topics include career opportunities in print, film, broadcast, and digital media; changing relationships between media; contemporary patterns of ownership and audience attention; how the media select their content, how they are financed, and how they are related to agencies of control; and ethical issues and controversies regarding media content and influences.      "
MET,CM 707,Writing for Media Professionals,"Introduction to basic formats, including news releases, editorials, features, profiles, scripts, and basic copy qualities such as readability, clarity, crispness, color, and organization. Emphasis on developing the ability to write copy for varied audiences. Regular writing assignments; considerable rewriting. Includes lead writing, editing, and interviewing.     "
MET,CM 708,Principles and Practices of Advertising,"Overview of the nature, function, practice, and social, economic, and behavioral aspects of advertising. Student teams develop advertising plans, create campaigns, and explore problems of account management, creativity, production, and ethics.     "
MET,CM 711,Consumer Insight and Account Planning,"Grad Prereq MET CM 708  Explores how to arrive at consumer insights that lead to better advertising and promotion. The course focuses on the set of skills necessary to create breakthrough advertising, including qualitative research, observation, interviewing skills, mapping, and presentation tools. Students learn to write effective creative briefs.    "
MET,CM 714,Video in the Digital Age,"The role of video has become even more significant in terms of the digital environment for branded content, webisodes, viral video, corporate micro-documentaries, and instructional/educational website content. How this is integrated with, and disseminated by, social media is key. In addition, budgetary constraints in relation to work for the web often require a different creative approach than traditional broadcast media. This course explores the creative development of video concepts and introduces students to basic production techniques as they relate to the development of video geared for the web. This is mainly a writing and concept development course. Some rudimentary editing techniques are discussed throughout the semester.    "
MET,CM 716,Digital Communication,"This course is designed to introduce students to using new media tools for creating media communication. Students build an integrated campaign and web site using software, which includes Photoshop, InDesign, iMovie, Dreamweaver and Flash. Students develop an understanding of the process of design consisting of ideation, strategy and execution. <br><br> Permission required for non-MET students. Contact Metropolitan College, 755 Commonwealth Avenue, Room 103 (617-353-3000) for more information.   "
MET,CM 717,Fundamentals of Creative Development,"Examines the creative process in advertising, including concept development, copywriting, layout, and campaign strategies. Emphasis is on print advertising, but radio and television commercials are also included. Assignments include consumer and trade advertisements for both new and mature products.    "
MET,CM 719,Interactive Marketing Communications,"An overview of the theories, practices, and techniques in the emerging field of interactive marketing communications (IAMC). Students gain an understanding of the strategy and tactics of IAMC and its place in the more comprehensive field of marketing communications. In addition, students review IAMC's relationship to and its effects on society, culture, and the economic system.  The course will explore almost all the ways interactive marketing can be practiced via the Internet historical introduction, dotcom era, basic principles, database marketing, etail, email, search (SEO & SEM/PPC), display advertising, social networking, gaming, mobile, et al.   "
MET,CM 721,Advertising Management,"Prereq MET CM 708 Administration of a complete advertising program. Case study method used to explore the marketing mix, budgeting, media strategy, planning, coordinating advertising with promotion, working with client or agency, and the social responsibility of advertisers.   "
MET,CM 726,Strategic Brand Solutions,"Explores the impact of current advertising/marketing issues from business, economic, political, social, legal, and ethical perspectives. Modified case method, with lectures from experts on selected issues.     "
MET,CM 736,New & Traditional Media Strategies,"Examines media planning, buying and sales as performed by advertising agencies, clients, and the media. Research sources providing data on media audiences and product usage are evaluated. Examines contemporary trends in communications media and their effects on advertisers.     "
MET,CM 737,Social Networks in Strategic Communication Planning,"The purpose of MET CM737, Social Networks in Strategic Communication Planning, is to help students understand the rapid evolution in marketing and communications brought on by the shift in technology that has forever changed traditional media and launched powerful new communications platforms via social media.  This course will focus on communications strategy -- where it's been, where it's going with a focus on executing strategies through social media platforms that align with overall business (brand) goals and objectives.  To help gain this perspective, students will learn from various experts (guests to class) and hands-on exercises designed to give all students a solid baseline for the dominant and tertiary social media platforms.  I fully believe that the best way to learn and understand social media is to jump in and engage with the different platforms.  This class will encourage and insist that you engage with at least two social media platforms so you can bring this first-hand knowledge to class.    "
MET,CM 739,Principles of Search Engine Marketing,"In this course students will become familiar with the basics of Search Engine Optimization and Search Engine Advertising and how these new rapidly growing areas fit into the marketing communications planning process. The course will cover topics such as how search engines work, how users search, how to optimize a website for search engines, how to develop a Search Engine Advertising campaign and how to measure success. The course will also cover Social Media Marketing. At the end of the semester students will present a strategically executed Search Engine Marketing plan. Prerequisite for the course is MET CM 719, Interactive Marketing Communication or permission of the instructor.    "
MET,CM 744,Design and New Media,"Provides knowledge and practice for effective graphic design for all media. Develops a foundation in design principles and software skills including Illustrator, Photoshop, and InDesign. Students create projects demonstrating how graphic design is used to engage an audience and enhance comprehension of all forms of mass communication from traditional print to new media.    "
MET,CS 101,Computers and Their Applications,"For students with no prior experience with computers. Organization and function of computer systems; application of computers in today's society; social impact of computers. Introduction to algorithms, various types of application packages, and the Internet. Not for computer science majors. Laboratory course.     "
MET,CS 200,Fundamentals of Information Technology,"This course is a technically-oriented introductory survey of information technology. Students learn about  basic computer information, different types of business systems and basic systems analysis, design and  development. Students also study basic mathematics, software development and create simple Java  programs. 4 credits.    "
MET,CS 201,Introduction to Programming,"Introduction to problem-solving methods and algorithm development. Includes procedural and data abstractions, program design, debugging, testing, and documentation. Covers data types, control structures, functions, parameter passing, library functions, and arrays. Laboratory exercises in C++. Laboratory course.    "
MET,CS 231,Programming with C++,"Covers the elements of object-oriented programming and the C++ language. Data types, control structures, functions, library functions, classes, inheritance, and multiple inheritance. Use of constructors, destructors, function and operator overloading, reference parameters and default values, friend functions, input and output streams, templates, and exceptions. Laboratory course.     "
MET,CS 232,Programming with Java,"This course covers the elements of object-oriented programming and the Java Programming Language. Primitive data types, control structures, methods, classes, arrays and strings, inheritance and polymorphism, interfaces, creating user interfaces, applets, exceptions and streams. Laboratory course.     "
MET,CS 248,Discrete Mathematics,"Fundamentals of logic (the laws of logic, rules of inferences, quantifiers, proofs of theorems), Fundamental principles of counting (permutations, combinations), set theory, relations and functions, graphs, trees and sorting, shortest path and minimal spanning trees algorithms. Monoids and Groups.     "
MET,CS 341,Data Structures with C++,"Covers data structures, using the C++ language. Topics include data abstraction, encapsulation, the use of recursion, creation and manipulation of various data structures; bags, lists, queues, tables, trees, heaps and graphs, and searching and sorting algorithms. Laboratory course.     "
MET,CS 342,Data Structures with Java,"This course covers data structures using the Java Programming Language. Topics include data abstraction, encapsulation, information hiding, and the use of recursion, creation and manipulation of various data structures lists, queues, tables, trees, heaps, and graphs, and searching and sorting algorithms. Laboratory course.    "
MET,CS 382,Information Systems for Management,"Computer-based management information systems. Management's role in development and use of computer systems. Planning for a comprehensive information system; role in decision making, case studies.     "
MET,CS 401,Introduction to Web Application Development,"This course focuses on building core competencies in web design and development. It begins with a  complete immersion into HTML essentially XHTML and Dynamic HTML (DHTML). Students are exposed to  Cascading Style Sheets (CSS), as well as Dynamic CSS. The fundamentals of JavaScript language including  object-oriented JavaScript is covered comprehensively. AJAX with XML and JSON are covered, as they are  the primary means to transfer data from client and server. 4 credits    "
MET,CS 425,Introduction to Business Data Communications and Networks,"Basic concepts of data communications and computer networks; hardware, software, and reference  models; TCP/IP protocol suit. Overview of voice communication, LAN, network development life cycle,  security, management IT Economic Total Cost Ownership, Return on investment and IT Project Portfolio  Management.    "
MET,CS 469,Introduction to Database Design and Implementation for Business,"Database concepts, relational and entity-relationship (ER) data models, normalization, object-relational modeling, database lifecycle, the Structured Query Language (SQL). Preview of advanced database concepts, including transaction management, performance tuning, distributed databases, and data warehousing. Meets with CS 669, with undergraduate-level exercises, quizzes, and final and an optional term project. (Lab class)    "
MET,CS 472,Computer Architecture,"Computer organization with emphasis on processors, memory, and input/output. Includes pipelining, ALUs, caches, virtual memory, parallelism, measuring performance, and basic operating systems concepts.  Discussion of assembly language instruction sets and programming as well as internal representation of instructions.  Prerequisite MET CS231 or CS232   "
MET,CS 495,Directed Study,Independent study on special projects under faculty guidance.     
MET,CS 496,Directed Study,Independent study on special projects under faculty guidance.    
MET,CS 503,Windows .NET Application Programming with C#," In-depth exploration of the C# programming language and Visual Studio .NET for development, debugging, and deployment of applications. 4 credits.    "
MET,CS 504,Green Information Technology,"This course empowers students to reduce the energy use, waste, and other environmental impacts of IT systems while reducing life cycle costs, thereby improving competitive advantage.  Students learn how to measure computer power usage, minimize power usage, procure sustainable hardware, design green data centers, recycle computer equipment, configure computers to minimize power, use virtualization to reduce the number of servers, and other green technologies. Students also learn how to make green IT an integral part of organizational culture and planning, to foster long-term sustainable information technology. The course is executed through a combination of lectures, guest lectures, field trips, assignments, labs, case studies, and a term project.     "
MET,CS 520,Information Structures,"This course covers the concepts of object-oriented approach to software design and development using   the Java programming language. It includes a detailed discussion of programming concepts starting   with the fundamentals of data types, control structures methods, classes, applets, arrays and strings,   and proceeding to advanced topics such as inheritance and polymorphism, interfaces, creating user   interfaces, exceptions, and streams. Upon completion of this course the students will be able to apply   software engineering criteria to design and implement Java applications that are secure, robust, and   scalable. <br><br> MET CS 200 Fundamentals of Information Technology; recommended to students  with no programming background. Or Instructor's Consent.    "
MET,CS 532,Computer Graphics," This course is primarily the study of design of graphic algorithms. At the end of the course you can expect to be able to write programs to model, transform and display 3-dimensional objects on a 2-dimensional display. The course starts with a brief survey of graphics devices and graphics software. 2-d primitives such as lines and curves in 2-d space are studied and a number of algorithms to draw them on a rectangular surface are introduced, followed by a study of polygons, scan conversion and other fill methods. Attributes of the primitives are studied as well as filtering and aliasing. Geometric transformations in 2 dimensions are introduced in homogeneous coordinates, followed by the viewing pipeline, which includes clipping of lines, polygons and text. Hierarchical graphics modeling is briefly studied. The graphics user interface is introduced and various input functions and interaction modes are examined. 3-d graphics is introduced through object representations through polygonal methods, spline techniques, and octrees. This is followed by 3-d transformations and the 3-d viewing pipeline. The course ends with a study of algorithms to detect the visible surfaces of a 3-d object in both the object space and the image space. Laboratory Course    "
MET,CS 535,Computer Networks,"Overview of data communication and computer networks, including network hardware and software, as well as reference models, example networks, data communication services and network standardization. The OSI and the Internet (TCP/IP) network models are discussed. The course covers each network layer in details, starting from the Physical layer to towards the Application layer, and includes an overview of network security topics. Other topics covered include encoding digital and analog signals, transmission media, protocols. circuit, packet, message, switching techniques, internetworking devices, topologies. LANs/WANs, Ethernet, IP, TCP, UDP, and Web applications. Labs on network analysis.     "
MET,CS 544,Foundations of Analytics,"The goal of this course is to provide students with the mathematical and practical background required in the field of data analytics. Starting with an introduction to probability and statistics,  the R tool is introduced for statistical computing and graphics. Different types of data are investigated along with data summarization techniques and plotting. Data populations using discrete, continuous, and multivariate distributions are explored. Errors during measurements and computations are analyzed in the course. Confidence intervals and hypothesis testing topics are also examined. The concepts covered in the course are demonstrated using R. Laboratory Course.     "
MET,CS 546,Quantitative Methods for Information Systems,"The goal of this course is to provide Computer Information Systems students with the mathematical fundamentals required for successful quantitative analysis of problems in the field of business computing. The first part of the course introduces the mathematical prerequisites for understanding probability and statistics. Topics include combinatorial mathematics, functions, and the fundamentals of differentiation and integration. The second part of the course concentrates on the study of elementary probability theory, discrete and continuous distributions. 4 cr    "
MET,CS 555,Data Analysis and Visualization,"This course provides an overview of the statistical tools most commonly used to process, analyze,  and visualize data. Topics include simple linear regression, multiple regression, logistic  regression, analysis of variance, and survival analysis. These topics are explored using the  statistical package R, with a focus on understanding how to use and interpret output from this  software as well as how to visualize results. In each topic area, the methodology, including  underlying assumptions and the mechanics of how it all works along with appropriate  interpretation of the results, are discussed. Concepts are presented in context of real world  examples.    "
MET,CS 561,Financial Informatics,"This course presents financial algorithms used in applications of computer science in financial decision analysis, risk management, data mining and market analysis, and other modern business processes. The course covers theoretical background on probabilistic methods used for financial decision making and their application in number of fields such as financial modeling, venture capital decision making, operational risk measurement and investment science. Number of financial applications and algorithms are being presented for portfolio risk analysis,  modeling real options, venture capital decision making, etc. The course concludes with algorithms for financial risk assessment and presents the security concepts and challenges of financial information systems.     "
MET,CS 565,Advanced Java Programming,"Comprehensive coverage of object-oriented programming with cooperating classes. Implementation of polymorphism with inheritance and interfaces and in Java library containers. Programming with exceptions, stream input/output and graphical AWT and Swing components. Threads, sockets, datagrams and database connectivity are also covered in this course. Laboratory course.    "
MET,CS 566,Analysis of Algorithms,"Discusses basic methods for designing and analyzing efficient algorithms emphasizing methods used in practice. Topics include sorting, searching, dynamic programming, greedy algorithms, advanced data structures, graph algorithms (shortest path, spanning trees, tree traversals), matrix operations, string matching, NP completeness.     "
MET,CS 570,Biomedical Sciences and Health IT,"This course is designed for IT professionals, and those training to be IT professionals, who are preparing  for careers in healthcare-related IT (Health Informatics). This course provides a high-level introduction  into basic concepts of biomedicine and familiarizes students with the structure and organization of  American healthcare system and the roles played by IT in that system. The course introduces medical  terminology, human anatomy and physiology, disease processes, diagnostic modalities, and treatments  associated with common disease processes. IT case studies demonstrate the key roles of health  informatics and how IT tools and resources help medical professionals integrate multiple sources of  information to make diagnostic and therapeutic decisions. [4 cr.]     "
MET,CS 575,Operating Systems,"Overview of operating system characteristics, design objectives, and structures. Topics include concurrent processes, coordination of asynchronous events, file systems, resource sharing, memory management, security, scheduling and deadlock problems.     "
MET,CS 579,Database Management,"This course provides a theoretical yet modern presentation of database topics ranging from Data and Object Modeling, relational algebra and normalization to advanced topics such as how to develop Web-based database applications. Other topics covered - relational data model, SQL and manipulating relational data; applications programming for relational databases; physical characteristics of databases; achieving performance and reliability with database systems; object-oriented database systems.    "
